38,87,
70,69,
41,85,
40,89,
52,80,
61,68,
50,82,
56,92,
42,94,
43,88,
46,83,
32,77,
62,81,
49,88,
72,73,
39,81,
70,98,
39,91,
42,87,
60,78,
50,95,
54,87,
56,88,
35,124,
48,78,
34,83,
57,90,
53,101,
48,78,
64,104,
56,89,
66,81,
22,98,
82,92,
52,75,
86,96,
60,85,
58,90,
44,97,
46,92,
43,114,
54,89,
34,83,
82,109,
29,87,
47,79,
51,70,
43,71,
61,86,
30,88,
49,93,
42,86,
57,88,
54,103,
64,93,
73,93,
40,87,
64,75,
99,79,
58,96,
64,83,
28,96,
66,85,
46,74,
49,94,
35,95,
30,96,
46,92,
47,92,2
46,96,1
69,101,1
47,106,1
65,87,2
48,89,2
61,109,2
44,98,2
35,95,2
54,91,1
35,71,1
53,85,1
64,90,1
44,91,2
77,72,1
47,81,1
62,60,1
54,74,1
39,83,2
76,82,1
60,108,2
68,96,1
71,94,1
47,96,1
67,94,1
67,78,1
69,69,1
38,90,1
38,99,2
41,110,1
52,75,2
46,78,1
58,91,1
67,100,2
65,91,1
40,84,2
56,76,1
46,96,2
52,71,1
34,90,1
30,101,2
35,117,2
58,95,2
68,80,1
49,92,1
37,113,2
43,97,1
37,92,2
44,98,2
37,124,1
39,105,2
59,98,1
45,86,1
40,94,1
35,103,2
33,109,2
56,88,1
40,93,2
61,78,1
71,68,2
58,74,1
42,120,1
48,109,2
54,72,1
50,97,2
49,84,2
67,80,1
30,105,1
63,86,1
48,88,1
44,109,2
42,90,1
38,95,2
28,123,1
51,91,2
70,81,1
34,93,2
53,79,1
38,93,2
42,101,1
55,91,2
31,82,2
41,89,1
64,88,1
32,109,2
46,94,2
49,92,2
49,103,2
53,83,1
46,98,2
49,79,1
46,87,1
51,80,1
39,112,2
49,91,1
48,106,2
77,88,1
63,88,1
46,66,2
40,117,1
34,122,2
37,96,1
66,87,2
45,80,1
45,112,2
47,78,2
39,93,2
52,92,1
52,96,2
33,99,1
69,84,1
38,89,1
37,91,2
59,76,1
39,89,2
47,105,2
41,99,1
32,87,2
31,82,2
63,66,1
62,89,1
53,85,1
37,90,1
41,89,2
59,77,2
39,96,2
47,97,1
39,97,2
60,94,1
35,100,2
46,77,1
60,93,1
65,102,1
60,98,2
55,84,2
39,98,2
37,110,2
50,85,1
44,92,2
57,100,1
42,120,1
29,88,2
69,77,1
50,86,1
69,96,1
57,93,1
78,78,1
38,117,2
31,103,2
54,102,1
38,88,1
52,84,1
53,75,2
41,82,1
44,96,2
53,79,1
50,89,1
31,92,2
58,78,2
70,93,2
53,79,1
61,94,2
50,108,2
51,94,1
39,99,2
63,82,1
52,105,1
33,103,2
54,94,1
62,91,1
29,86,2
67,103,1
38,96,2
52,105,2
45,74,2
47,81,2
56,90,2
58,60,1
65,77,1
69,69,1
43,101,1
45,93,1
41,100,1
34,101,2
38,84,1
45,108,1
40,113,2
61,93,1
37,94,1
64,79,2
31,105,2
42.5,93,1
91,87,1
98,95,1
44,92,2
51,87,2
36,86,2
52,101,2
83,92,2
51,98,1
36,109,2
93,82,1
54,95,2
39,93,2
44,69,1
40,100,2
46,95,1
44,108,2
67,86,1
68,95,1
35,99,2
54,85,2
55,87,2
48,92,2
53,98,1
55,84,1
33,78,2
29,86,1
88,90,1
55,90,1
60,87,2
38,83,2
35,102,2
52,77,1
71,82,1
50,91,1
41,83,2
53,92,2
59,77,1
51,78,1
41,88,2
46,91,2
46,102,1
58,100,2
49,98,1
56,86,1
39,88,2
32,75,2
48,88,2
42,111,2
62,72,1
59,111,2
46,99,1
44,97,1
54,84,1
47,91,2
49,82,1
65,91,1
41,101,2
48,108,1
67,99,1
67,106,1
45,92,1
29,106,1
25,111,2
35,105,2
38,96,1
38,103,1
39,98,2
55,90,1
47,96,1
55,102,2
32,95,2
39,90,2
34,100,1
34,99,2
48,78,2
67,77,1
33,104,1
39,92,2
43,77,1
59,95,1
55,84,1
41,87,2
41,97,2
60,93,1
46,84,1
47,91,2
44,95,2
51,84,2
71,91,1
23,74,2
49,124,2
48,81,2
82,82,2
52,92,1
50,106,2
46,94,2
54,73,2
45,77,2
61,80,1
43,106,2
48,101,1
64,97,1
43,101,2
32,94,2
39,115,2
48,115,1
38,103,2
44,99,2
43,111,2
38,98,1
70,73,1
46,87,2
57,86,2
49,91,1
52,72,1
57,96,2
43,91,1
33,76,2
36,82,2
56,97,1
46,85,1
41,78,2
38,100,1
52,93,2
59,82,2
51,88,2
64,92,1
42,73,1
44,82,2
63,70,2
37,109,2
55,79,1
53,107,2
54,86,1
31,93,1
53,78,1
55,83,2
46,97,1
49,75,1
46,96,2
69,89,1
70,101,1
33,102,2
44,101,1
52,89,1
31,84,2
59,58,1
42,96,1
45,101,1
39,90,2
42,81,2
55,85,1
54,112,1
63,96,1
41,93,2
38,92,1
45,100,1
51,92,1
69,93,1
53,90,1
38,106,1
38,95,2
57,89,2
30,80,2
37,97,2
56,79,1
41,112,2
48,99,2
43,123,2
65,82,1
42,87,1
59,91,2
49,117,1
83,89,1
58,99,1
45,82,1
75,80,1
42,93,2
42,102,2
43,95,2
42,85,1
97,92,1
